Timestamp,Left_Knee_Angle,Right_Knee_Angle,Leg_Separation_Angle
2025-11-26 12:53:31,141.5,175.37,32.95
2025-11-26 12:53:31,159.75,174.38,34.28
2025-11-26 12:53:31,160.65,172.73,33.11
2025-11-26 12:53:31,169.5,174.54,32.01
2025-11-26 12:53:31,170.25,176.57,31.1
2025-11-26 12:53:31,174.01,179.29,29.58
2025-11-26 12:53:31,177.51,179.15,28.67
2025-11-26 12:53:31,178.7,176.14,27.75
2025-11-26 12:53:32,177.26,177.58,28.28
2025-11-26 12:53:32,177.79,177.48,27.84
2025-11-26 12:53:32,176.86,179.07,30.5
2025-11-26 12:53:32,179.28,178.74,32.6
2025-11-26 12:53:32,177.19,179.99,31.82
2025-11-26 12:53:32,176.32,179.95,31.59
2025-11-26 12:53:32,176.69,178.67,31.94
2025-11-26 12:53:32,175.95,178.09,32.52
2025-11-26 12:53:32,175.07,177.72,33.86
2025-11-26 12:53:32,175.97,178.12,33.7
2025-11-26 12:53:32,174.92,178.35,34.13
2025-11-26 12:53:32,175.36,177.95,33.24
2025-11-26 12:53:32,175.42,178.13,33.31
2025-11-26 12:53:33,174.3,177.89,35.08
2025-11-26 12:53:33,174.68,178.13,34.82
2025-11-26 12:53:33,174.23,178.49,34.79
2025-11-26 12:53:33,173.56,178.65,34.93
2025-11-26 12:53:33,172.24,178.26,35.15
2025-11-26 12:53:33,172.16,178.07,36.13
2025-11-26 12:53:33,172.05,178.06,35.85
2025-11-26 12:53:33,171.56,177.99,36.13
2025-11-26 12:53:33,168.33,176.66,37.27
2025-11-26 12:53:33,168.98,177.01,37.08
2025-11-26 12:53:33,168.92,176.94,36.91
2025-11-26 12:53:33,168.89,176.86,37.09
2025-11-26 12:53:33,170.02,176.91,37.03
2025-11-26 12:53:34,170.21,176.91,37.04
2025-11-26 12:53:34,170.19,177.31,37.29
2025-11-26 12:53:34,170.67,178.42,38.19
2025-11-26 12:53:34,170.61,178.71,41.82
2025-11-26 12:53:34,170.68,178.19,42.53
2025-11-26 12:53:34,170.72,177.26,43.64
2025-11-26 12:53:34,170.64,176.99,43.25
2025-11-26 12:53:34,170.63,176.27,43.6
2025-11-26 12:53:34,170.82,176.08,43.59
2025-11-26 12:53:34,170.73,175.89,43.43
2025-11-26 12:53:34,170.52,175.49,43.76
2025-11-26 12:53:34,171.18,175.7,43.3
2025-11-26 12:53:34,170.55,175.5,44.1
2025-11-26 12:53:35,170.77,175.54,43.64
2025-11-26 12:53:35,170.91,175.61,43.46
2025-11-26 12:53:35,171.07,175.67,43.29
2025-11-26 12:53:35,170.8,175.46,43.14
2025-11-26 12:53:35,170.67,175.55,43.12
2025-11-26 12:53:35,169.32,175.0,42.82
2025-11-26 12:53:35,169.38,175.14,42.73
2025-11-26 12:53:35,169.35,175.39,42.28
2025-11-26 12:53:35,169.41,175.43,42.08
2025-11-26 12:53:35,169.57,175.22,41.75
2025-11-26 12:53:35,169.54,175.31,41.69
2025-11-26 12:53:35,169.32,175.15,41.67
2025-11-26 12:53:35,168.51,175.23,42.02
2025-11-26 12:53:35,168.79,174.75,42.04
2025-11-26 12:53:35,167.96,174.74,42.24
2025-11-26 12:53:36,168.04,174.08,42.51
2025-11-26 12:53:36,168.11,174.53,42.81
2025-11-26 12:53:36,168.27,174.71,42.79
2025-11-26 12:53:36,166.55,174.46,42.91
2025-11-26 12:53:36,166.16,174.25,43.14
2025-11-26 12:53:36,166.23,173.89,43.61
2025-11-26 12:53:36,164.96,173.7,44.37
2025-11-26 12:53:36,164.43,173.63,44.85
2025-11-26 12:53:36,159.89,173.34,45.67
2025-11-26 12:53:36,161.36,172.38,46.28
2025-11-26 12:53:36,159.23,171.57,47.04
2025-11-26 12:53:36,156.95,170.76,47.7
2025-11-26 12:53:36,156.39,168.55,47.69
2025-11-26 12:53:36,157.86,168.33,48.38
2025-11-26 12:53:37,156.78,167.1,48.42
2025-11-26 12:53:37,155.79,167.13,47.64
2025-11-26 12:53:37,156.69,168.55,46.98
2025-11-26 12:53:37,159.83,171.1,44.02
2025-11-26 12:53:37,153.65,171.46,45.35
2025-11-26 12:53:37,157.58,168.19,47.34
2025-11-26 12:53:37,160.06,169.17,47.83
2025-11-26 12:53:37,161.79,170.12,46.66
2025-11-26 12:53:37,163.24,170.57,45.74
2025-11-26 12:53:37,164.02,170.29,45.64
2025-11-26 12:53:37,164.05,170.27,45.96
